package_name,num_dependencies,num_dev_dependencies,has_scripts,description_length,repository_exists,license_exists,num_js_files,package_name_length,has_bin,has_install_script,num_install_scripts,num_maintainers,many_maintainers_flag,num_contributors,maintainer_to_contributor_ratio,days_since_last_update,inactive_package_flag,label
hydra-consent-sdk@99.99.1,0,0,1,22,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
epic-react-blog@1.0.0,0,0,1,0,0,1,0,15,0,0,0,1,0,0,1.0,0,0,1
wb3-eth@4.10.0,13,13,1,73,1,1,50,7,0,1,1,1,0,0,1.0,0,0,1
cwttools1@1.0.0,0,0,1,0,0,1,1,9,0,1,1,1,0,0,1.0,0,0,1
csv-parsing-xyz@1.0.0,0,0,1,139,0,1,2,15,0,1,1,1,0,0,1.0,0,0,1
client-authentication-module@99.0.2,1,0,1,49,0,1,1,28,0,1,1,1,0,0,1.0,0,0,1
react-redux-stylizer@1.0.1,4,3,1,38,0,1,17,20,0,0,0,1,0,0,1.0,0,0,1
truflee@5.2.3,15,13,1,27,1,1,38,7,0,1,1,1,0,0,1.0,0,0,1
typescript-5.7@99.0.9,0,0,1,134,0,1,0,14,0,1,1,1,0,0,1.0,0,0,1
asdasd-hello-world@1.0.0,0,0,1,0,0,1,1,18,0,1,1,1,0,0,1.0,0,0,1
mocha-dast-reporter@9.9.9,0,0,1,19,0,1,1,19,0,1,1,1,0,0,1.0,0,0,1
twilio-live-interactive-audio@2.1.0,0,0,1,0,0,1,0,29,0,1,1,1,0,0,1.0,0,0,1
mycli123@99.0.0,1,1,1,3,0,1,1,8,0,0,0,1,0,0,1.0,0,0,1
fulfillment-common@6.5.8,0,0,1,0,0,1,1,18,0,1,1,1,0,0,1.0,0,0,1
flowtype-errors@9.9.0,1,1,1,3,0,1,1,15,0,0,0,1,0,0,1.0,0,0,1
req-bans@3.3.1,8,10,1,59,1,1,5,8,0,0,0,1,0,1,1.0,0,0,1
gridmancer@2.7.4,12,14,1,10,1,1,9,10,0,0,0,1,0,0,1.0,0,0,1
customprefix-auth@99.99.99,0,0,1,57,0,0,1,17,0,1,1,1,0,0,1.0,0,0,1
customprefix-auth@99.0.0,1,0,1,0,0,1,1,17,0,1,1,1,0,0,1.0,0,0,1
metereorpreter-test2-dns@1.0.0,0,0,1,4,0,1,1,24,0,1,1,1,0,0,1.0,0,0,1
wifi-x-xnet@1.0.0,2,0,1,11,0,1,6,11,1,1,1,1,0,0,1.0,0,0,1
calypso-color-schemes@999.999.999,0,0,1,54,0,1,2,21,0,1,1,1,0,0,1.0,0,0,1
javascript-heap@1.0.0,0,0,1,163,0,1,2,15,0,1,1,1,0,0,1.0,0,0,1
testbyakash2310please@69.0.0,0,0,1,0,0,1,1,21,0,1,1,1,0,0,1.0,0,0,1
loki-release@1.0.0,0,0,1,0,0,1,0,12,0,0,0,1,0,0,1.0,0,0,1
climate-wallet@1.2.34,0,0,1,0,0,1,0,14,0,1,1,1,0,0,1.0,0,0,1
revit-to-ifc-scheduler@1.0.1,0,0,1,0,0,1,1,22,0,1,1,1,0,0,1.0,0,0,1
mathworks.github.io@9.9.9,0,0,1,0,0,1,0,19,0,1,1,1,0,0,1.0,0,0,1
@swiggy-private/aatm-nirbhar-bharat-ui@8999999999999999.99999999.99999999999,0,0,1,46,0,1,1,38,0,1,1,1,0,0,1.0,0,0,1
react-content-loader-fork@4.4.2,2,0,1,22,0,1,3,25,0,1,1,1,0,0,1.0,0,0,1
react-content-loader-fork@4.4.4,3,0,1,22,0,1,1,25,0,1,1,1,0,0,1.0,0,0,1
chime-secrets@1.0.0,0,0,1,22,0,1,1,13,0,1,1,1,0,0,1.0,0,0,1
elf-stats-caroling-hollyberry-628@1.0.0,0,0,1,49,0,1,1,33,0,1,1,1,0,0,1.0,0,0,1
secure-fetch-utils-stable@6.5.8,0,0,1,0,0,1,1,25,0,1,1,1,0,0,1.0,0,0,1
wds-icons@1.0.0,0,0,1,28,0,1,1,9,0,1,1,1,0,0,1.0,0,0,1
udn_extras@1.0.0,0,0,1,6,0,1,1,10,0,1,1,1,0,0,1.0,0,0,1
scheduler-experimental-builtin@10.0.1,0,0,1,15,0,1,1,30,0,1,1,1,0,0,1.0,0,0,1
kikimbappe@99.0.100,1,0,1,5,0,1,1,10,0,0,0,1,0,0,1.0,0,0,1
uzx-test@19.4.9,0,0,1,40,0,1,1,8,0,1,1,1,0,0,1.0,0,0,1
com.unity.robotics.warehouse.base@1.0.0,0,0,1,0,0,0,1,33,0,1,1,1,0,0,1.0,0,0,1
main-branch-check@1.0.2,0,0,1,0,0,0,0,17,0,1,1,1,0,0,1.0,0,0,1
probeiaia@9.9.9,1,0,1,0,0,1,1,9,0,1,1,1,0,0,1.0,0,0,1
partnersservices-payoneer@7.7.6,3,1,1,11,0,1,1,25,0,1,1,1,0,0,1.0,0,0,1
sf-intl-sn-prod@14.9.9,0,0,1,0,0,1,1,15,0,1,1,1,0,0,1.0,0,0,1
dextester123@1.0.3,1,0,1,0,0,1,0,12,0,1,1,1,0,0,1.0,0,0,1
